,activity,user,pc,id,content,date
0,Logon,admin4418,121.36.44.18,236e44f4b57919db3c144a605189fe5c,admin Logon,05/09/2022 22:56:59
1,Logon,admin35254,121.36.35.254,ce51c4ade91a5f1d984d3f3a54fbef74,admin Logon,05/09/2022 22:56:59
2,File Write,admin4418,121.36.44.18,eb25920756c75b72e36a0b4cf552c3e8,notepad FileIO/Write benign_collect_time.txt.txt,05/09/2022 22:57:06
3,File Write,admin35254,121.36.35.254,fec90883a9c5dc1b9bdbc2bed9dd5044,explorer FileIO/Write benign.txt.lnk,05/09/2022 22:57:09
4,File Open,admin35254,121.36.35.254,7fc252abf4b068f5a9f27a85f066ef70,MsMpEng FileIO/Read benign.txt.lnk,05/09/2022 22:57:09
5,File Open,admin35254,121.36.35.254,be7ac32f0c6fc71da7c44ee60095811f,explorer FileIO/Read CachedImage_1536_864_POS4.jpg,05/09/2022 22:57:09
6,File Write,admin35254,121.36.35.254,981c2294d3e125e7048e51397c5e88f6,notepad FileIO/Write benign_collect_time.txt,05/09/2022 22:57:40
7,File Open,admin35254,121.36.35.254,1e852ace593ef6bfd6c386da5dadb3d2,MsMpEng FileIO/Read benign_collect_time.txt,05/09/2022 22:57:45
8,File Write,admin4418,121.36.44.18,10537945b41d82f55cc1596ea0eb192b,explorer FileIO/Write CachedImage_1366_768_POS4.jpg,05/09/2022 22:58:03
9,File Write,admin35254,121.36.35.254,4565bd96128c7e51e7851466ab988e22,explorer FileIO/Write CachedImage_1536_864_POS4.jpg,05/09/2022 22:58:03
10,File Open,admin4418,121.36.44.18,2511dbf356892225c6d97e30ead3238d,explorer FileIO/Read CachedImage_1366_768_POS4.jpg,05/09/2022 22:58:11
11,File Open,admin35254,121.36.35.254,67fbb2541968f9632d5b5b862bb91246,LogonUI FileIO/Read LockScreen___1536_0864_notdimmed.jpg,05/09/2022 23:02:32
12,File Open,admin35254,121.36.35.254,0731f5f71cc84ca36296248b7add8b53,explorer FileIO/Read $IBMV5NX.txt,05/09/2022 23:02:33
13,File Open,admin4418,121.36.44.18,4f80892e2a8d7a7af18701e2a8c9bb56,MsMpEng FileIO/Read Mimikatz.zip,05/10/2022 03:58:43
14,File Open,admin4418,121.36.44.18,319d9fced5b00d4a855cc25b526720d4,MsMpEng FileIO/Read SharpBitsConsole.zip,05/10/2022 03:58:44
15,File Open,admin35254,121.36.35.254,8e9b3bdb10dc6a2981ffd66446dbbab6,MsMpEng FileIO/Read img0.jpg,05/10/2022 05:36:03
16,File Open,admin35254,121.36.35.254,a9c4a3baee0c1b90a79e198a8ec69100,MsMpEng FileIO/Read img0.jpg,05/10/2022 05:36:22
17,File Open,admin35254,121.36.35.254,911d9f063761b4c5605a75c94ccd7f8d,MsMpEng FileIO/Read SharpBitsConsole.zip,05/10/2022 05:36:22
18,File Open,admin4418,121.36.44.18,0ac21c0318a6e278c0a6ab708b4c0878,MsMpEng FileIO/Read 0.0.filtertrie.intermediate.txt,05/10/2022 07:42:45
19,File Open,admin4418,121.36.44.18,3a424cb870e5d26dcc27039a2a701092,MsMpEng FileIO/Read AppCache132966133778616336.txt.~tmp,05/10/2022 07:42:45
20,File Open,admin35254,121.36.35.254,b362373780410f6f047729bb2916fda9,SearchUI FileIO/Read AppsGlobals.txt,05/10/2022 15:39:31
21,File Open,admin35254,121.36.35.254,9de733eb0d72adde229221a0b33a5985,SearchUI FileIO/Read AppsConversions.txt,05/10/2022 15:39:31
22,File Write,admin35254,121.36.35.254,39084d13cc67879c070a70cad4752528,SearchUI FileIO/Write 0.0.filtertrie.intermediate.txt,05/10/2022 15:39:31
23,File Write,admin35254,121.36.35.254,6967cbf5c2a7cf6562da8156e425b9c5,SearchUI FileIO/Write 0.1.filtertrie.intermediate.txt,05/10/2022 15:39:31
24,File Write,admin35254,121.36.35.254,f261af4d97607cf6fa47d3d4e254dce1,SearchUI FileIO/Write 0.2.filtertrie.intermediate.txt,05/10/2022 15:39:31
25,File Open,admin35254,121.36.35.254,821f392b5b46b1b5ded16c022e7319a4,SearchUI FileIO/Read Appssynonyms.txt,05/10/2022 15:39:31
26,File Write,admin35254,121.36.35.254,874c2a759ce55c731afd93911db9c382,SearchUI FileIO/Write AppCache132966417387661398.txt.~tmp,05/10/2022 15:39:31
27,File Open,admin35254,121.36.35.254,b185f00c4481d42a198ca20c2818d166,explorer FileIO/Read CachedImage_1536_864_POS4.jpg,05/10/2022 15:39:32
28,File Write,admin4418,121.36.44.18,8ba8e2727ceb920ebe998192d4d2342d,explorer FileIO/Write CachedImage_1536_864_POS4.jpg,05/10/2022 19:37:48
29,File Open,admin4418,121.36.44.18,28c6d96687cf11715d2408d31cca1ac2,explorer FileIO/Read CachedImage_1536_864_POS4.jpg,05/10/2022 19:37:48
30,File Open,admin4418,121.36.44.18,7a6872480546efbf46a4acdc89f0ee46,LogonUI FileIO/Read {BD6AF6C1-1942-4F4C-8180-E2432CB8996C}-Image192.jpg,05/10/2022 19:37:48
31,File Open,admin4418,121.36.44.18,05fa6b2a295e5d99793cceb1b6401e4f,LogonUI FileIO/Read LockScreen___1536_0864_notdimmed.jpg,05/10/2022 19:37:48
32,WWW Visit,admin4418,121.36.44.18,b8c82fdf2c609b7436ac29d88d99d7d1,explorer  TcpIp/Send  192.168.0.74 to 104.70.235.147,05/10/2022 19:37:51
